,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age-height-weight,num_for_test
2635,1478,Rosaria Aiello,F,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver,27.0*172.0?74.0,644.13
2637,1480,Franz Aigner,M,Austria,AUT,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Heavyweight,Silver,32.0(nan?107.0,1640.84
2638,1481,Hannes Aigner,M,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze,23.0*183.0?75.0,270.64
2645,1483,Nobuyuki Aihara,M,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Silver,21.0:154.0?53.0,1904.66
2646,1483,Nobuyuki Aihara,M,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,Silver,21.0:154.0?53.0,577.61
2653,1483,Nobuyuki Aihara,M,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Team All-Around,Gold,25.0*154.0?53.0,1375.56
2654,1483,Nobuyuki Aihara,M,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Floor Exercise,Gold,25.0?154.0?53.0,1092.61
2663,1485,Yutaka Aihara,M,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,Bronze,21.0?156.0?55.0,1533.51
2672,1487,Ryoji Aikawa,M,Japan,JPN,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze,28.0:183.0?85.0,898.39
2674,1489,Alexander Michael Hirst Aikman,M,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze,23.0?nan?nan,1587.03
2688,1498,"Charles Benedict ""Ben"" Ainslie",M,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed One Person Dinghy,Silver,19.0(183.0?90.0,816.44
2689,1498,"Charles Benedict ""Ben"" Ainslie",M,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed One Person Dinghy,Gold,23.0:183.0?90.0,684.46
2690,1498,"Charles Benedict ""Ben"" Ainslie",M,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy,Gold,27.0:183.0?90.0,1740.81
2691,1498,"Charles Benedict ""Ben"" Ainslie",M,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Gold,31.0*183.0?90.0,1143.41
2692,1498,"Charles Benedict ""Ben"" Ainslie",M,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold,35.0?183.0?90.0,1060.93
2696,1500,Kurt Harold Ainsworth,M,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold,22.0(187.0?84.0,1824.8
2700,1503,John Creyghton Ainsworth-Davis,M,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,25.0:nan?nan,354.64
2715,1512,Robin Allingham Aisher,M,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed 5.5 metres,Bronze,34.0?185.0?85.0,496.75
2748,1530,"Gordon ""Gord"" Aitchison",M,Canada,CAN,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Silver,27.0(nan?nan,311.16
2749,1531,Frances Helen Aitchison (-Leisk),F,Great Britain-1,GBR,1912 Summer,1912,Summer,Stockholm,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver,30.0?nan?nan,606.9
2753,1534,Brett Aitken,M,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,21.0?173.0?65.0,1779.92
2754,1534,Brett Aitken,M,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,25.0:173.0?65.0,516.72
2756,1534,Brett Aitken,M,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold,29.0:173.0?65.0,410.61
2761,1538,Vladimir Atoff,M,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold,20.0(nan?nan,192.59
2772,1540,Artur Surenovych Aivazian,M,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,35.0?177.0?88.0,318.73
2787,1546,Eirini Andili,F,Greece,GRE,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,17.0*167.0?45.0,1943.84
2795,1551,"Oluwafemi ""Junior"" Ajayi",M,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze,20.0*172.0?79.0,902.95
2798,1554,Omar Ajete Iglesias,M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold,27.0?175.0?93.0,1983.8
2799,1554,Omar Ajete Iglesias,M,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold,31.0(175.0?93.0,1057.2
2800,1554,Omar Ajete Iglesias,M,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver,35.0:175.0?93.0,961.81
2802,1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,23.0?185.0?75.0,1583.15
2810,1561,Mobolade Abimbola Ajomale,M,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,20.0?180.0?62.0,723.79
2815,1564,Chioma Ajunwa (-Opara),F,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,Gold,24.0(164.0?57.0,503.1
2826,1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,25.0(185.0?81.0,1682.83
2829,1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,Bronze,33.0?185.0?81.0,349.28
2830,1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,33.0(185.0?81.0,1929.09
2838,1574,Kosei Akaishi,M,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,19.0?172.0?74.0,1920.21
2840,1574,Kosei Akaishi,M,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,27.0:172.0?74.0,1345.34
2846,1579,Nasuh Akar,M,Turkey,TUR,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,23.0:nan?nan,1472.16
2848,1581,Yuichi Akasaka,M,Japan,JPN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,24.0?169.0?64.0,1959.51
2869,1595,Hseyin Akba,M,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze,nan:167.0?57.0,13.96
2871,1595,Hseyin Akba,M,Turkey,TUR,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver,nan?167.0?57.0,1542.8
2880,1601,Vehbi Akda,M,Turkey,TUR,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,23.0*168.0?62.0,539.39
2904,1618,Ernst Gunnar kerlund,M,Sweden,SWE,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold,24.0*nan?nan,1890.59
2905,1618,Ernst Gunnar kerlund,M,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Silver,28.0:nan?nan,1206.03
2906,1619,Olle Erik Curys kerlund,M,Bissbi,SWE,1932 Summer,1932,Summer,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold,20.0*nan?nan,1778.57
2911,1622,Michelle Anne Akers,F,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold,30.0?178.0?68.0,234.8
2926,1634,Taha Akgl,M,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,25.0(192.0?125.0,1571.18
2929,1637,Yelena Rabigovna Akhaminova (-Sokolovskaya),F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Gold,18.0*181.0?80.0,1887.91
2934,1639,Albina Khamitovna Akhatova,F,Russia,RUS,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver,21.0:160.0?55.0,875.96
2936,1639,Albina Khamitovna Akhatova,F,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze,25.0(160.0?55.0,1763.23
2938,1639,Albina Khamitovna Akhatova,F,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze,29.0*160.0?55.0,1339.91
2940,1639,Albina Khamitovna Akhatova,F,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,Bronze,29.0*160.0?55.0,1067.68
2941,1639,Albina Khamitovna Akhatova,F,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold,29.0(160.0?55.0,606.78
2955,1647,Murodzhon Kakharovich Akhmadaliyev,M,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze,21.0:165.0?56.0,932.4
2961,1649,Artur Kamilevich Akhmatkhuzin,M,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold,28.0(187.0?79.0,1063.96
2962,1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,21.0(190.0?120.0,606.15
2965,1652,Lyutvi Dzhiber Akhmedov,M,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,34.0?184.0?87.0,357.02
2968,1654,Leyla Begnyazovna Akhmerova,F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Bronze,23.0?160.0?52.0,1101.54
2978,1659,Igor Vladimirovich Akhremchik,M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,Bronze,26.0*180.0?79.0,1575.14
2984,1662,Gulraiz Akhtar,M,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold,25.0(172.0?61.0,1366.73
2988,1665,Naeem Akhtar,M,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold,23.0?173.0?65.0,852.53
3005,1673,John Akii-Bua,M,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,Gold,22.0*188.0?77.0,420.5
3011,1676,Anatoly Ivanovich Akimov,M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,Gold,24.0*181.0?84.0,1405.65
3013,1678,Vladimir Ivanovich Akimov,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Gold,27.0*184.0?80.0,1280.54
3020,1682,Morolake Akinosun,F,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,22.0*163.0?61.0,1424.02
3021,1683,Foluke Antinuke Akinradewo,F,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver,24.0(191.0?79.0,703.57
3022,1683,Foluke Antinuke Akinradewo,F,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze,28.0(191.0?79.0,1270.56
3045,1698,Khadzhimurat Magomedovich Akkayev,M,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,19.0?178.0?105.0,1169.86
3046,1698,Khadzhimurat Magomedovich Akkayev,M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,23.0(178.0?105.0,1819.01
3048,1700,Marina Dazmirovna Akobiya,F,Russia,RUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze,25.0(165.0?57.0,605.15
3067,1713,Artur Vladimirovich Akoyev,M,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,Silver,26.0(nan?109.0,164.3
3070,1716,Daniel Akpeyi,M,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze,30.0(187.0?80.0,664.76
3095,1730,Monica Aksamit,F,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze,26.0*183.0?74.0,23.52
3101,1732,Liudmyla Vasylivna Aksenova (Shapovalova-),F,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze,29.0?165.0?58.0,700.11
3104,1734,Aleksandr Timofeyevich Aksinin,M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,21.0:173.0?67.0,679.91
3106,1734,Aleksandr Timofeyevich Aksinin,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,25.0?173.0?67.0,962.1
3117,1740,Nikolay Aleksandrovich Aksyonov,M,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze,26.0:201.0?100.0,1289.24
3126,1742,Irina Anatolyevna Aksyonova,F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,17.0*174.0?62.0,1679.32
3144,1758,Vladyslav Ivanovych Akymenko,M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Silver,23.0?192.0?88.0,1963.19
3148,1762,Naser Al Shami,M,Syria,SYR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Heavyweight,Bronze,22.0(187.0?81.0,1600.46
3223,1809,Nasser Salih Nasser Abdullah Al-Attiya,M,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,Bronze,41.0(178.0?82.0,200.69
3302,1858,Fehaid Al-Deehani,M,Kuwait,KUW,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Double Trap,Bronze,33.0:178.0?95.0,1850.24
3304,1858,Fehaid Al-Deehani,M,Kuwait,KUW,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,Bronze,45.0?178.0?95.0,581.97
3306,1858,Fehaid Al-Deehani,M,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold,49.0(178.0?95.0,1073.52
3354,1885,Ramzy Al-Duhami,M,Saudi Arabia,KSA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,40.0?162.0?70.0,339.02
3360,1889,Khaled Al-Eid,M,Saudi Arabia,KSA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze,31.0?175.0?57.0,1347.77
3437,1949,Abdul Rashid Al-Hasan,M,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold,25.0*170.0?63.0,1148.45
3542,2025,Ahmed bin Hasher Al-Maktoum,M,United Arab Emirates,UAE,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,Gold,40.0*175.0?67.0,387.13
3680,2112,Abdullah Al-Rashidi,M,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze,52.0?183.0?83.0,131.03
3721,2134,Prince Abdullah Bin Moteb Al-Saud,M,Saudi Arabia,KSA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,27.0*178.0?69.0,604.95
3772,2170,Hadi Soua'an Al-Somaily Jaadan,M,Saudi Arabia,KSA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,Silver,23.0*191.0?72.0,44.46
3833,2210,Marina Alabau Neira,F,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Windsurfer,Gold,26.0(164.0?55.0,1996.96
3836,2212,Armenak Alachachyan,M,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Silver,33.0?176.0?74.0,37.88
3859,2225,Arsen Shakhlamazovich Alakhverdiyev,M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,23.0(154.0?52.0,1414.13
3870,2233,Noor Alam,M,Pakistan,PAK,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Silver,26.0?172.0?73.0,1859.69
3871,2233,Noor Alam,M,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold,30.0*172.0?73.0,405.58
3911,2256,Vladan Alanovi,M,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver,25.0*190.0?81.0,1437.27
3937,2274,Mika Antero Alatalo,M,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,22.0(182.0?85.0,1787.69
3940,2275,Toimi Johannes Alatalo,M,Finland,FIN,1960 Winter,1960,Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,30.0?174.0?67.0,418.14
3965,2295,Fabio Albarelli,M,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed One Person Dinghy,Bronze,25.0?179.0?80.0,533.2
3969,2296,Marco Albarello,M,Italy,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Silver,31.0?187.0?84.0,1327.76
3972,2296,Marco Albarello,M,Italy,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,31.0?187.0?84.0,587.39
3973,2296,Marco Albarello,M,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Bronze,33.0(187.0?84.0,569.04
3975,2296,Marco Albarello,M,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,33.0:187.0?84.0,442.44
3978,2296,Marco Albarello,M,Italy,ITA,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,37.0(187.0?84.0,1053.07
3995,2302,Pierre Henri Maurice Albarran,M,France-3,FRA,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,Bronze,26.0?nan?nan,1141.63
4001,2306,Ruslan Vladimirovich Albegov,M,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,24.0:192.0?156.0,1085.66
4002,2307,David Albelda Aliqus,M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Silver,23.0*182.0?75.0,1363.88
4007,2311,Reinhard Alber,M,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,20.0*184.0?75.0,88.12
4011,2313,Alberto Alberani Samaritani,M,Italy,ITA,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,Silver,29.0:192.0?82.0,622.02
4015,2316,A. Albert,M,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold,nan*nan?nan,1357.34
4017,2317,Auguste Albert,M,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Silver,nan*nan?nan,1122.37
4018,2317,Auguste Albert,M,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze,nan*nan?nan,354.53
4025,2322,Flrin Albert,M,Hungary,HUN,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,Bronze,18.0?182.0?75.0,708.01
4067,2342,Nely Carla Alberto Francisca,F,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze,29.0?179.0?90.0,932.41
4073,2347,Georg Albert Christian Albertsen,M,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,30.0*nan?nan,145.45
4078,2349,Ebbe Gustav Bertil Albertsson (-Andersson),M,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,"Athletics Men's 10,000 metres",Bronze,26.0?177.0?67.0,1730.56
4086,2355,Abramo Albini,M,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,Bronze,20.0(180.0?83.0,1086.88
4092,2359,Islam-Beka Said-Tsilimovich Albiyev,M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,19.0?165.0?66.0,288.51
4111,2367,mile Albrecht,M,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxless Fours,Bronze,nan?nan?nan,180.83
4112,2367,mile Albrecht,M,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Gold,nan*nan?nan,1076.86
4130,2378,Sylvia Albrecht (-Heckendorf),F,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze,17.0(165.0?57.0,1576.24
4146,2379,Brigitte Albrecht-Loretan,F,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,31.0?175.0?64.0,439.2
4151,2381,John Robert Albrechtson,M,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Gold,39.0(181.0?67.0,308.74
4156,2386,"Tenley Emma Albright (-Gardiner, -Blakely)",F,United States,USA,1952 Winter,1952,Winter,Oslo,Figure Skating,Figure Skating Women's Singles,Silver,16.0*nan?nan,872.68
4157,2386,"Tenley Emma Albright (-Gardiner, -Blakely)",F,United States,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,Gold,20.0:nan?nan,253.6
4158,2387,"David Donald ""Dave"" Albritton",M,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's High Jump,Silver,23.0:191.0?79.0,182.84
4160,2389,Anatoly Mikhaylovich Albul,M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,24.0:181.0?87.0,340.95
4226,2419,Aldair Nascimento dos Santos,M,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze,30.0?183.0?76.0,29.75
4227,2420,Andrs Aldama Cabrera,M,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,Silver,20.0*183.0?63.0,638.47
4228,2420,Andrs Aldama Cabrera,M,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,Gold,24.0(183.0?63.0,257.13
4255,2434,Cyril Albert Alden,M,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,nan:nan?nan,1284.26
4256,2434,Cyril Albert Alden,M,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Cycling,Cycling Men's 50 kilometres,Silver,nan?nan?nan,1066.28
4257,2434,Cyril Albert Alden,M,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Cycling,Cycling Men's 50 kilometres,Silver,nan?nan?nan,1571.18
4268,2440,"Frederick Pitt ""Fred"" Alderman",M,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,22.0?177.0?75.0,779.63
4273,2443,"Joan ""Jody"" Alderson (-Braskamp)",F,United States,USA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,17.0:170.0?59.0,1005.45
4299,2458,David Alegre Biosca,M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver,23.0:184.0?75.0,969.3
4304,2460,Ramn Alegre Biosca,M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver,27.0(171.0?71.0,966.39
4317,2464,Jo Qesem Ayela Aleh,F,New Zealand,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold,26.0:171.0?58.0,1002.35
4318,2464,Jo Qesem Ayela Aleh,F,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Silver,30.0:171.0?58.0,46.27
4326,2469,Virgilijus Alekna,M,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,Gold,28.0?200.0?130.0,802.95
4327,2469,Virgilijus Alekna,M,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Discus Throw,Gold,32.0(200.0?130.0,1619.7
4328,2469,Virgilijus Alekna,M,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,Bronze,36.0?200.0?130.0,1441.31
4334,2473,Boris Viktorovich Aleksandrov,M,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,20.0?168.0?69.0,1434.36
4360,2483,Rumen Aleksandrov,M,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,20.0(176.0?89.0,293.28
4363,2486,Veniamin Veniaminovich Aleksandrov,M,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,22.0?180.0?81.0,827.02
